confidence_col,error_col,n,pearson,spearman
confidence_verbalized,abs_error,3395,-0.042456858117856024,-0.27018761657811835
confidence_verbalized,rel_error,3395,-0.04416706336920128,-0.2614654723377632
confidence_verbalized,log_error,3395,-0.12696858771177483,-0.26435833515183843
confidence_verbalized,log1p_abs_error,3395,-0.28413029355168495,-0.27018761657811835
judge_confidence,abs_error,3391,-0.015041702539416123,-0.26680537673588606
judge_confidence,rel_error,3391,-0.017057563762036945,-0.2638977567211706
judge_confidence,log_error,3391,-0.11147160087554801,-0.2651853748113431
judge_confidence,log1p_abs_error,3391,-0.16256866474526946,-0.26680537673588606
prob_tokens_only.prob_joint,abs_error,3395,-0.04230126868327063,-0.4925270579388355
prob_tokens_only.prob_joint,rel_error,3395,-0.04556607433308234,-0.49191415428883684
prob_tokens_only.prob_joint,log_error,3395,-0.14110401551956453,-0.494482840932625
prob_tokens_only.prob_joint,log1p_abs_error,3395,-0.29400093513602815,-0.4925270579388355
prob_tokens_only.prob_geo_mean,abs_error,3395,-0.005149684391097621,-0.4931175155486176
prob_tokens_only.prob_geo_mean,rel_error,3395,-0.0062309010162669735,-0.49295398317119227
prob_tokens_only.prob_geo_mean,log_error,3395,-0.12322484713915517,-0.4955396026654195
prob_tokens_only.prob_geo_mean,log1p_abs_error,3395,-0.2621313372787021,-0.4931175155486176
prob_tokens_only.logprob_sum,abs_error,3395,-0.01418614175126145,-0.42555330715958933
prob_tokens_only.logprob_sum,rel_error,3395,-0.01556590583546411,-0.4256155311507409
prob_tokens_only.logprob_sum,log_error,3395,-0.07731594646839919,-0.4267684682140484
prob_tokens_only.logprob_sum,log1p_abs_error,3395,-0.19256367044518674,-0.42555330715958933
prob_tokens_only.logprob_avg,abs_error,3395,-0.002166540966884476,-0.4256412639319072
prob_tokens_only.logprob_avg,rel_error,3395,-0.0029631207258032275,-0.4253259870206079
prob_tokens_only.logprob_avg,log_error,3395,-0.1035899369582027,-0.42660886513659196
prob_tokens_only.logprob_avg,log1p_abs_error,3395,-0.2306500858989879,-0.4256412639319072
prob_tokens_only.perplexity,abs_error,3395,-0.00018332299341348234,0.4256412639971715
prob_tokens_only.perplexity,rel_error,3395,0.0002778907655530538,0.4253259870858239
prob_tokens_only.perplexity,log_error,3395,0.07005787974067366,0.4266088652020047
prob_tokens_only.perplexity,log1p_abs_error,3395,0.1706707859021151,0.4256412639971715
prob_tokens_only.p_min,abs_error,3395,-0.025616631379485517,-0.4149005307398674
prob_tokens_only.p_min,rel_error,3395,-0.027940324477716386,-0.41384770649382285
prob_tokens_only.p_min,log_error,3395,-0.12968808315129698,-0.4154515286949825
prob_tokens_only.p_min,log1p_abs_error,3395,-0.2772123772500564,-0.4149005307398674
prob_all_tokens.prob_joint,abs_error,3395,-0.030863287975647243,-0.15289650101651547
prob_all_tokens.prob_joint,rel_error,3395,-0.035081538201478045,-0.1511677681063874
prob_all_tokens.prob_joint,log_error,3395,-0.0639478957195826,-0.15457870571864474
prob_all_tokens.prob_joint,log1p_abs_error,3395,-0.135008086280541,-0.15289650101651547
prob_all_tokens.prob_geo_mean,abs_error,3395,-0.018970570893082513,-0.15685751450316754
prob_all_tokens.prob_geo_mean,rel_error,3395,-0.02246502152719427,-0.1555582092491495
prob_all_tokens.prob_geo_mean,log_error,3395,-0.06464864818778283,-0.15899301435884183
prob_all_tokens.prob_geo_mean,log1p_abs_error,3395,-0.15693829680519855,-0.15685751450316754
prob_all_tokens.logprob_sum,abs_error,3395,-0.02475531712409319,-0.15289650101651547
prob_all_tokens.logprob_sum,rel_error,3395,-0.028307606205327216,-0.1511677681063874
prob_all_tokens.logprob_sum,log_error,3395,-0.06208318926052082,-0.15457870571864474
prob_all_tokens.logprob_sum,log1p_abs_error,3395,-0.15238023718638827,-0.15289650101651547
prob_all_tokens.logprob_avg,abs_error,3395,-0.018171212067425148,-0.15685751450316754
prob_all_tokens.logprob_avg,rel_error,3395,-0.021558640756098205,-0.1555582092491495
prob_all_tokens.logprob_avg,log_error,3395,-0.06354556333294059,-0.15899301435884183
prob_all_tokens.logprob_avg,log1p_abs_error,3395,-0.15698459408334722,-0.15685751450316754
prob_all_tokens.perplexity,abs_error,3395,0.01724459109034056,0.15685751450316754
prob_all_tokens.perplexity,rel_error,3395,0.0205032733273227,0.1555582092491495
prob_all_tokens.perplexity,log_error,3395,0.062004738772112336,0.15899301435884183
prob_all_tokens.perplexity,log1p_abs_error,3395,0.15641847262380038,0.15685751450316754
prob_all_tokens.p_min,abs_error,3395,-0.011095555160472712,-0.1178062528281838
prob_all_tokens.p_min,rel_error,3395,-0.014023474410151993,-0.1157864294002044
prob_all_tokens.p_min,log_error,3395,-0.03133251799494718,-0.11899198430865077
prob_all_tokens.p_min,log1p_abs_error,3395,-0.08802708672434878,-0.1178062528281838
